corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E61 531250 F TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  90 100  98 NL
E66 531267 M VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  43  60 105 NL
E61 531272 F BL 1999 N "*PERITOAZIENDALE"  92 100 102 NL
E64 531289 M VE 1999 N "*MATURITA'SCIENTIFICA"  72 100  92 NL
E64 531293 F TV 1999 N "MATURITA'MAGISTRALESPERIMENTALE(*)"  72 100  92 NL
E70 531343 M VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  92 100  96 NL
E61 531387 M PD 1999 N "*PERITOINDUSTRIALE"  73 100  87 NL
E64 531543 M VE 1999 N "*MATURITA'SCIENTIFICA"  60 100  90 NL
E66 531658 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO"  79 100 101 NL
E65 531659 F PD 1999 N "*MATURITA'TECNICACOMMERCIALE"  80 100  92 NL
E66 531661 F CO 1999 N "*MATURITA'CLASSICA"  68 100  94 NL
E60 531715 F VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  87 100  96 NL
E62 531717 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  76 100  80 NL
E66 531791 F VE 1999 N "*MATURITA'SCIENTIFICA"  60 100  96 NL
E63 531825 F VE 1999 N "*MATURITA'SCIENTIFICA"  80 100 101 NL
E65 531893 F VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  82 100  91 NL
E69 531896 F TV 1999 N "MATURITA'MAGISTRALESPERIMENTALE(*)"  88 100  97 NL
E65 531906 M TV 1999 N "*MATURITA'SCIENTIFICA"  64 100  93 NL
E69 531949 F TV 1999 N "*MATURITA'TECNICACOMMERCIALE" 100 100 100 NL
E66 531998 F PD 1999 N "TITOLODISTUDIOSTRANIERO"  42  60  83 NL
E66 532072 F VR 1999 N "*MATURITA'TECNICAPERILTURISMO"  40  60  97 NL
E66 532091 M VE 1999 N "*PERITOINDUSTRIALE"  36  60  91 NL
E64 532138 F VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  92 100  99 NL
E60 532149 F BL 1999 N "*MATURITA'SCIENTIFICA"  67 100 104 NL
E64 532174 F VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  58  60  99 NL
E65 532198 M PD 1999 N "*MATURITA'SCIENTIFICA"  67 100  89 NL
E69 532233 M TV 1999 N "*MATURITA'SCIENTIFICA"  60 100  89 NL
E62 532243 F PD 1999 N "LICENZALINGUISTICA"  98 100 100 NL
E60 532246 F VI 1999 N "*MATURITA'SCIENTIFICA"  66 100  97 NL
E69 532317 F PD 1999 N "*MATURITA'SCIENTIFICA"  77 100  95 NL
E69 532414 F TV 1999 N "*MATURITA'CLASSICA"  95 100  94 NL
E66 532475 M VE 1999 N "*MATURITA'SCIENTIFICA"  43  60  91 NL
E69 532534 F VE 1999 N "*MATURITA'SCIENTIFICA"  60 100  88 NL
E60 532538 F TV 1999 N "*LICENZALINGUISTICA"  74 100  91 NL
E69 532568 M PD 1999 N "*MATURITA'SCIENTIFICA"  78 100  92 NL
E69 532570 F VI 1999 N "*MATURITA'SCIENTIFICA"  72 100  91 NL
E69 532667 F TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  66 100  89 NL
E60 532704 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  81 100  94 NL
E60 532724 F PD 1999 N "MATURITA'LINGUISTICA"  86 100  89 NL
E69 532793 M VE 1999 N "*MATURITA'SCIENTIFICA"  77 100  93 NL
E62 532961 F TV 1999 T "*MATURITA'CLASSICA"  40  60  86 NL
E71 533048 F TV 2000 T "LICENZALINGUISTICA"  39  60  96 NL
E69 533074 F VR 2000 N "*MATURITA'SCIENTIFICA"  74 100  94 NL
E65 533098 F VE 2000 N "*MATURITA'SCIENTIFICA" 100 100 110 NL
E65 533122 F VE 2000 N "*MATURITA'SCIENTIFICA"  81 100  93 NL
E69 533131 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE"  93 100  90 NL
E65 533134 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 107 NL
E69 533138 F TV 2000 N "*MATURITA'SCIENTIFICA"  91 100 110 L
E64 533145 F VE 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100  99 NL
E60 533156 M TV 2000 N "*MATURITA'TECNICACOMMERCIALE" 100 100 110 L
E69 533160 F VE 2000 N "*MATURITA'SCIENTIFICA"  76 100 101 NL
E60 533162 F VE 2000 N "*MATURITA'SCIENTIFICA"  60 100  89 NL
